model,dimension,group,scope,n_3voters,hit_rate,mean_p3_on_3voter,share_of_3voters,n_players,mean_error,mae
Performance ML (B),season_ev_bias_by_role,MIDFIELDER,all,,,,,1886.0,-0.09434573684482746,2.09105399683012
Performance ML (B),season_ev_bias_by_role,MIDFIELDER_FORWARD,all,,,,,75.0,-0.22774686630723834,1.8369780684099104
Performance ML (B),season_ev_bias_by_role,RUCK,all,,,,,246.0,-0.12599302825868994,1.9267594056592987
Performance ML (B),season_ev_bias_by_role,UNKNOWN,all,,,,,36.0,-0.6287289084379817,1.00988277358391
Performance ML (B),season_ev_bias_by_role,KEY_DEFENDER,recent (2022-2026),,,,,70.0,-0.427495445254469,1.4228377334945417
Performance ML (B),season_ev_bias_by_role,KEY_FORWARD,recent (2022-2026),,,,,140.0,-0.34514535472888197,1.3173994629164902
Performance ML (B),season_ev_bias_by_role,MEDIUM_DEFENDER,recent (2022-2026),,,,,194.0,0.16892171668807868,1.822159658698348
Performance ML (B),season_ev_bias_by_role,MEDIUM_FORWARD,recent (2022-2026),,,,,152.0,-0.5757906780717219,1.5379390149905785
Performance ML (B),season_ev_bias_by_role,MIDFIELDER,recent (2022-2026),,,,,453.0,-0.5280619401017267,2.497326991528605
Performance ML (B),season_ev_bias_by_role,MIDFIELDER_FORWARD,recent (2022-2026),,,,,60.0,-0.22365528971740956,1.9168702493504057
Performance ML (B),season_ev_bias_by_role,RUCK,recent (2022-2026),,,,,84.0,0.7289872415660094,2.3099867257833946
Performance ML (B),season_ev_bias_by_role,UNKNOWN,recent (2022-2026),,,,,4.0,-0.7914647323580675,0.7914647323580675
Stats-only (C),role,KEY_DEFENDER,all,42.0,0.2619047619047619,0.1885295695420369,0.01418918918918919,,,
Stats-only (C),role,KEY_FORWARD,all,200.0,0.67,0.49690183634953994,0.06756756756756757,,,
Stats-only (C),role,MEDIUM_DEFENDER,all,181.0,0.4696132596685083,0.3135343609680067,0.06114864864864865,,,
Stats-only (C),role,MEDIUM_FORWARD,all,161.0,0.5093167701863354,0.35775084108899824,0.05439189189189189,,,
Stats-only (C),role,MIDFIELDER,all,1901.0,0.6128353498158864,0.411490443977154,0.6422297297297297,,,
Stats-only (C),role,MIDFIELDER_FORWARD,all,46.0,0.6521739130434783,0.4082248290732387,0.015540540540540541,,,
Stats-only (C),role,RUCK,all,135.0,0.5407407407407407,0.3444367697287764,0.04560810810810811,,,
Stats-only (C),role,UNKNOWN,all,294.0,0.5680272108843537,0.4009329943413449,0.09932432432432432,,,
Stats-only (C),role,KEY_DEFENDER,recent (2022-2026),16.0,0.3125,0.2289558329404957,0.015594541910331383,,,
Stats-only (C),role,KEY_FORWARD,recent (2022-2026),88.0,0.7386363636363636,0.5475760031846969,0.08576998050682261,,,
Stats-only (C),role,MEDIUM_DEFENDER,recent (2022-2026),94.0,0.4787234042553192,0.3356159861678364,0.09161793372319688,,,
Stats-only (C),role,MEDIUM_FORWARD,recent (2022-2026),73.0,0.4383561643835616,0.32964699081995824,0.07115009746588694,,,
Stats-only (C),role,MIDFIELDER,recent (2022-2026),636.0,0.6053459119496856,0.4213778687344585,0.6198830409356725,,,
Stats-only (C),role,MIDFIELDER_FORWARD,recent (2022-2026),33.0,0.6060606060606061,0.37944412538696465,0.03216374269005848,,,
Stats-only (C),role,RUCK,recent (2022-2026),52.0,0.5769230769230769,0.37609164108564924,0.050682261208576995,,,
Stats-only (C),role,UNKNOWN,recent (2022-2026),34.0,0.5588235294117647,0.44870328522836245,0.03313840155945419,,,
Stats-only (C),margin_bucket,0-12,all,750.0,0.5466666666666666,0.36258960915464,0.2533783783783784,,,
Stats-only (C),margin_bucket,100+,all,64.0,0.6875,0.5094135466129595,0.021621621621621623,,,
Stats-only (C),margin_bucket,12-24,all,574.0,0.6149825783972126,0.40087315636295107,0.1939189189189189,,,
Stats-only (C),margin_bucket,24-48,all,892.0,0.5919282511210763,0.4004602615088811,0.3013513513513513,,,
Stats-only (C),margin_bucket,48-100,all,680.0,0.6058823529411764,0.43409519920797845,0.22972972972972974,,,
Stats-only (C),margin_bucket,0-12,recent (2022-2026),291.0,0.5051546391752577,0.340784654331487,0.28362573099415206,,,
Stats-only (C),margin_bucket,100+,recent (2022-2026),18.0,0.7222222222222222,0.5971322996465875,0.017543859649122806,,,
Stats-only (C),margin_bucket,12-24,recent (2022-2026),195.0,0.6205128205128205,0.42124430826042203,0.19005847953216373,,,
Stats-only (C),margin_bucket,24-48,recent (2022-2026),290.0,0.596551724137931,0.4195986356527855,0.2826510721247563,,,
Stats-only (C),margin_bucket,48-100,recent (2022-2026),232.0,0.6336206896551724,0.47004229340451287,0.22612085769980506,,,
Stats-only (C),losing_team_3voter,False,all,2659.0,0.6066190297104175,0.4109901688046259,0.8983108108108108,,,
Stats-only (C),losing_team_3voter,True,all,301.0,0.44518272425249167,0.3130175929481404,0.10168918918918919,,,
Stats-only (C),losing_team_3voter,False,recent (2022-2026),916.0,0.611353711790393,0.4266474140455439,0.8927875243664717,,,
Stats-only (C),losing_team_3voter,True,recent (2022-2026),110.0,0.37272727272727274,0.29076128234836524,0.10721247563352826,,,
Stats-only (C),season_ev_bias_by_role,KEY_DEFENDER,all,,,,,175.0,-1.0522812913624988,1.6142495622557271
Stats-only (C),season_ev_bias_by_role,KEY_FORWARD,all,,,,,304.0,-0.32456967217174437,1.356034166218638
Stats-only (C),season_ev_bias_by_role,MEDIUM_DEFENDER,all,,,,,426.0,0.06451638906770538,1.7435962201564836
Stats-only (C),season_ev_bias_by_role,MEDIUM_FORWARD,all,,,,,388.0,-0.3933612845381538,1.3322999239771525
Stats-only (C),season_ev_bias_by_role,MIDFIELDER,all,,,,,1933.0,-0.37572484192428085,2.112025514896278
Stats-only (C),season_ev_bias_by_role,MIDFIELDER_FORWARD,all,,,,,75.0,-0.22078269001178435,1.9877409047536498
Stats-only (C),season_ev_bias_by_role,RUCK,all,,,,,268.0,0.447731890378335,1.9743009469020338
Stats-only (C),season_ev_bias_by_role,UNKNOWN,all,,,,,38.0,-0.4436882443685536,1.0050480977182772
Stats-only (C),season_ev_bias_by_role,KEY_DEFENDER,recent (2022-2026),,,,,70.0,-0.5664759707293682,1.4456723177722617
Stats-only (C),season_ev_bias_by_role,KEY_FORWARD,recent (2022-2026),,,,,142.0,-0.27432914625811977,1.394795005227007
Stats-only (C),season_ev_bias_by_role,MEDIUM_DEFENDER,recent (2022-2026),,,,,203.0,0.3026183680406195,1.8061836872542754
Stats-only (C),season_ev_bias_by_role,MEDIUM_FORWARD,recent (2022-2026),,,,,157.0,-0.4349199938879318,1.456866861941981
Stats-only (C),season_ev_bias_by_role,MIDFIELDER,recent (2022-2026),,,,,457.0,-0.8581530250083017,2.532339944378083
Stats-only (C),season_ev_bias_by_role,MIDFIELDER_FORWARD,recent (2022-2026),,,,,60.0,-0.21487359964018243,2.0383311491360443
Stats-only (C),season_ev_bias_by_role,RUCK,recent (2022-2026),,,,,89.0,1.5111560428375266,2.578771098493594
Stats-only (C),season_ev_bias_by_role,UNKNOWN,recent (2022-2026),,,,,4.0,-0.6787357869721019,0.6787357869721019
Stats-only ML (C-ML),role,KEY_DEFENDER,all,42.0,0.21428571428571427,0.16518978968316747,0.01418918918918919,,,
Stats-only ML (C-ML),role,KEY_FORWARD,all,200.0,0.655,0.47151385757537184,0.06756756756756757,,,
Stats-only ML (C-ML),role,MEDIUM_DEFENDER,all,181.0,0.430939226519337,0.30959816221693903,0.06114864864864865,,,
Stats-only ML (C-ML),role,MEDIUM_FORWARD,all,161.0,0.45962732919254656,0.3400040691370683,0.05439189189189189,,,
Stats-only ML (C-ML),role,MIDFIELDER,all,1901.0,0.6333508679642293,0.42965227233007586,0.6422297297297297,,,
Stats-only ML (C-ML),role,MIDFIELDER_FORWARD,all,46.0,0.5869565217391305,0.3867790817954501,0.015540540540540541,,,
Stats-only ML (C-ML),role,RUCK,all,135.0,0.362962962962963,0.26958488566496736,0.04560810810810811,,,
Stats-only ML (C-ML),role,UNKNOWN,all,294.0,0.5918367346938775,0.4164180628141672,0.09932432432432432,,,
Stats-only ML (C-ML),role,KEY_DEFENDER,recent (2022-2026),16.0,0.25,0.2016709016042271,0.015594541910331383,,,
Stats-only ML (C-ML),role,KEY_FORWARD,recent (2022-2026),88.0,0.7159090909090909,0.5164594035769445,0.08576998050682261,,,
Stats-only ML (C-ML),role,MEDIUM_DEFENDER,recent (2022-2026),94.0,0.44680851063829785,0.324234466742802,0.09161793372319688,,,
Stats-only ML (C-ML),role,MEDIUM_FORWARD,recent (2022-2026),73.0,0.4520547945205479,0.31646780429847643,0.07115009746588694,,,
Stats-only ML (C-ML),role,MIDFIELDER,recent (2022-2026),636.0,0.6084905660377359,0.41799507079368076,0.6198830409356725,,,
Stats-only ML (C-ML),role,MIDFIELDER_FORWARD,recent (2022-2026),33.0,0.5454545454545454,0.3592512886685978,0.03216374269005848,,,
Stats-only ML (C-ML),role,RUCK,recent (2022-2026),52.0,0.40384615384615385,0.30324923678921345,0.050682261208576995,,,
Stats-only ML (C-ML),role,UNKNOWN,recent (2022-2026),34.0,0.5882352941176471,0.40117299949005364,0.03313840155945419,,,
Stats-only ML (C-ML),margin_bucket,0-12,all,750.0,0.552,0.36515459859751204,0.2533783783783784,,,
Stats-only ML (C-ML),margin_bucket,100+,all,64.0,0.65625,0.4708505488810959,0.021621621621621623,,,
Stats-only ML (C-ML),margin_bucket,12-24,all,574.0,0.6045296167247387,0.42099561039189526,0.1939189189189189,,,
Stats-only ML (C-ML),margin_bucket,24-48,all,892.0,0.5840807174887892,0.4071596129714423,0.3013513513513513,,,
Stats-only ML (C-ML),margin_bucket,48-100,all,680.0,0.6205882352941177,0.4361207403769169,0.22972972972972974,,,
Stats-only ML (C-ML),margin_bucket,0-12,recent (2022-2026),291.0,0.5051546391752577,0.33416870907986823,0.28362573099415206,,,
Stats-only ML (C-ML),margin_bucket,100+,recent (2022-2026),18.0,0.7777777777777778,0.5140337435617748,0.017543859649122806,,,
Stats-only ML (C-ML),margin_bucket,12-24,recent (2022-2026),195.0,0.6153846153846154,0.42242503107375057,0.19005847953216373,,,
Stats-only ML (C-ML),margin_bucket,24-48,recent (2022-2026),290.0,0.5517241379310345,0.40650220629327194,0.2826510721247563,,,
Stats-only ML (C-ML),margin_bucket,48-100,recent (2022-2026),232.0,0.6336206896551724,0.44228503777505507,0.22612085769980506,,,
Stats-only ML (C-ML),losing_team_3voter,False,all,2659.0,0.6107559232794284,0.4221142103146586,0.8983108108108108,,,
