rank,player_id,player_name,team_id,A_historical,A_with_reputation,B_recent_era,C_stats_assisted,D_high,D_low,D_medium,FINAL_ENSEMBLE,structural_break_sensitivity,model_disagreement_range,reputation_effect,sim_mean_votes,sim_median_votes,sim_p10,sim_p90,sim_p2_5,sim_p97_5,prob_ge_10,prob_ge_15,prob_ge_20,prob_ge_25,prob_ge_30,prob_ge_35,prob_rank_1,prob_top3_rank,prob_top10_rank,projected_3_vote_games,projected_2_vote_games,projected_1_vote_games
58,13180,Murphy Reid,fremantle,6.617300004975819,5.846580203347667,6.643427173324022,6.050625805516637,6.27729548530031,6.532298875056941,6.4189640351651045,6.424189468834746,0.5666741994591824,0.5928013678073851,-0.770719801628152,6.41426,6.0,3.0,10.0,1.0,12.0,0.13821,0.00569,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
59,13129,Patrick Voss,fremantle,6.10983532014074,6.217926869559531,6.139910071266765,6.106897993712901,6.108072924284037,6.109394721176565,6.108807255890997,6.114822206116202,0.0029373264278387,0.033012077553864,0.1080915494187912,6.11452,6.0,3.0,9.0,2.0,10.0,0.04775,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
60,12953,Josh Rachele,adelaide,6.084789476857507,5.664083809799421,6.44433248218966,5.900713143827211,5.97434367703933,6.057178026902962,6.020362760296903,6.092271361363334,0.1840763330302959,0.5436193383624488,-0.420705667058086,6.09824,6.0,3.0,9.0,3.0,11.0,0.06951,0.00104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
61,12564,Rowan Marshall,st_kilda,6.085400379239305,5.8711454337444,5.95993379998908,6.10739057105328,6.09859449432769,6.088698908011402,6.093096946374198,6.068003630524151,0.0219901918139751,0.1474567710642,-0.2142549454949049,6.05574,6.0,4.0,9.0,2.0,10.0,0.04771,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
62,12455,Matthew Kennedy,western_bulldogs,5.913145428987924,5.2460035910354055,5.921719198403403,6.094617418567983,6.022028622735959,5.940366227424933,5.976660625340945,5.97837537922404,0.1814719895800598,0.1814719895800598,-0.667141837952518,5.98778,6.0,3.0,9.0,2.0,11.0,0.09048,0.00221,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
63,12968,Kai Lohmann,brisbane_lions,5.886638524313119,5.862101743959856,6.001709922021426,6.012920835737953,5.96240791116802,5.905580871026844,5.9308373333118105,5.953851612853473,0.1262823114248341,0.1262823114248341,-0.0245367803532623,5.96025,6.0,3.0,9.0,2.0,11.0,0.06525,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2
64,12573,Josh Daicos,collingwood,6.121053301633108,6.448382453537521,6.012017913388342,5.6292716931555935,5.825984336546604,6.047286060361481,5.9489297386659805,5.927122661017026,0.4917816084775142,0.4917816084775142,0.3273291519044132,5.91878,6.0,3.0,9.0,1.0,11.0,0.08821,0.00135,1e-05,0.0,0.0,0.0,0.0,0.0,1e-05,0,2,2
65,12237,Jarman Impey,hawthorn,5.808557009176731,6.326725554138364,5.393302433643468,6.357460311117704,6.137898990341315,5.890892504467877,6.000673164856072,5.91762224974942,0.5489033019409728,0.9641578774742356,0.5181685449616333,5.91115,6.0,3.0,9.0,2.0,11.0,0.08101,0.00163,2e-05,0.0,0.0,0.0,0.0,0.0,1e-05,1,1,2
66,12060,Bradley Hill,st_kilda,5.730372086671108,5.428116467897527,5.723586079628385,5.804366243898075,5.774768581008457,5.741471210255954,5.756270041701511,5.754912840292993,0.0739941572269673,0.0807801642696901,-0.3022556187735805,5.76369,6.0,3.0,9.0,2.0,11.0,0.06605,0.00091,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
67,13168,Archie Roberts,essendon,5.84687271401443,5.446590252287431,5.8315122860787545,5.588108905521466,5.69161442891865,5.808058142740486,5.7563053810418925,5.753233295454757,0.2587638084929642,0.2587638084929642,-0.4002824617269995,5.75906,6.0,3.0,8.0,3.0,10.0,0.03222,0.00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
