model,window,test_season,n_train_seasons,n_matches,correct_3_pct,correct_2_pct,correct_1_pct,exact_321_pct,all_3_identified_pct,top3_precision,top3_recall,mean_rank_corr,log_loss,brier_score,expected_vote_mae
Model1_PlackettLuce,recent8,2021,8,180,0.65,0.4,0.2722222222222222,0.1388888888888889,0.2777777777777778,0.7166666666666667,0.7166666666666667,0.42527696358764644,0.1724799923516308,0.08240679933485628,0.11744146300822768
Model2a_GBM_utility,recent8,2021,8,180,0.6666666666666666,0.37777777777777777,0.25555555555555554,0.12222222222222222,0.26666666666666666,0.7,0.7,0.42320834546209607,0.2686577202370814,0.11631934068620617,0.23092166206174253
Model2b_GBM_multiclass,recent8,2021,8,180,0.6222222222222222,0.28888888888888886,0.18333333333333332,0.07222222222222222,0.19444444444444445,0.6981481481481481,0.6981481481481481,0.4241848119933503,0.19066113153560096,0.08841827048653043,0.1282492260844755
Model0_Benchmark,expanding,2022,19,183,0.5792349726775956,0.30601092896174864,0.24043715846994534,0.10382513661202186,0.26229508196721313,0.6939890710382514,0.6939890710382514,0.42676734764747115,0.1811588383827017,0.0855135553722614,0.12942281252435114
Model1_PlackettLuce,expanding,2022,19,183,0.6010928961748634,0.3114754098360656,0.20765027322404372,0.08196721311475409,0.21311475409836064,0.6848816029143898,0.6848816029143898,0.42643711859207184,0.17192847359802085,0.0845361162731276,0.12952187984122934
Model2a_GBM_utility,expanding,2022,19,183,0.5901639344262295,0.3333333333333333,0.21311475409836064,0.07650273224043716,0.25136612021857924,0.6903460837887068,0.6903460837887068,0.42468600963598696,0.2710486847756484,0.11727263586560217,0.23251534675785474
Model2b_GBM_multiclass,expanding,2022,19,183,0.5846994535519126,0.33879781420765026,0.2185792349726776,0.07103825136612021,0.1912568306010929,0.697632058287796,0.697632058287796,0.42625552382407805,0.18215780873362108,0.08594011080307966,0.13253610761644496
Model0_Benchmark,recent8,2022,8,183,0.5628415300546448,0.32786885245901637,0.2185792349726776,0.1092896174863388,0.273224043715847,0.7067395264116576,0.7067395264116576,0.429845609911226,0.17941422697373843,0.0828633870244961,0.12003774857425269
Model1_PlackettLuce,recent8,2022,8,183,0.6338797814207651,0.3224043715846995,0.2459016393442623,0.1092896174863388,0.26229508196721313,0.7012750455373405,0.7012750455373405,0.4294838445643656,0.16170999893887314,0.08085091510352502,0.11514882295238238
Model2a_GBM_utility,recent8,2022,8,183,0.5901639344262295,0.3333333333333333,0.25136612021857924,0.13114754098360656,0.2677595628415301,0.703096539162113,0.703096539162113,0.42511592003834026,0.266327944882787,0.11531769289535478,0.22814707975269735
Model2b_GBM_multiclass,recent8,2022,8,183,0.5519125683060109,0.23497267759562843,0.22404371584699453,0.0546448087431694,0.23497267759562843,0.6958105646630237,0.6958105646630237,0.42757145632675747,0.17657391694620794,0.0855073613415346,0.12372998948941183
Model0_Benchmark,expanding,2023,20,181,0.5082872928176796,0.26519337016574585,0.14917127071823205,0.04419889502762431,0.20994475138121546,0.6077348066298343,0.6077348066298343,0.40176370562085045,0.20852396758802186,0.09372830044422265,0.14508030669760283
Model1_PlackettLuce,expanding,2023,20,181,0.4861878453038674,0.20441988950276244,0.13812154696132597,0.04419889502762431,0.17679558011049723,0.5985267034990792,0.5985267034990792,0.40124297686936744,0.19736735621594442,0.09330003120016499,0.14172967682375257
Model2a_GBM_utility,expanding,2023,20,181,0.5248618784530387,0.24861878453038674,0.18232044198895028,0.06629834254143646,0.2154696132596685,0.6224677716390424,0.6224677716390424,0.39331793642147145,0.2653348161353794,0.11303917134397602,0.22590656540205226
Model2b_GBM_multiclass,expanding,2023,20,181,0.47513812154696133,0.2541436464088398,0.16022099447513813,0.055248618784530384,0.15469613259668508,0.6335174953959486,0.6335174953959486,0.40298703411883474,0.21422248558858914,0.09350661503556232,0.14402082640798144
Model0_Benchmark,recent8,2023,8,181,0.4861878453038674,0.2541436464088398,0.16574585635359115,0.049723756906077346,0.17679558011049723,0.6114180478821363,0.6114180478821363,0.4010372541527632,0.22845540746389006,0.09417502146596422,0.14018063882878135
Model1_PlackettLuce,recent8,2023,8,181,0.4696132596685083,0.20994475138121546,0.16574585635359115,0.055248618784530384,0.19337016574585636,0.6206261510128914,0.6206261510128914,0.40176546424377596,0.2033767671455932,0.09442461856610561,0.13312279562979987
