feature,2018,2019,2020,2021,2022,2023,2024,2025,mean_coef,std_coef,cv_coef,sign_changes,top10_rate
team_disposal_concentration,-0.04217585914146029,-0.034289506198030145,-0.03887117554827864,-0.04288776478383085,-0.04433476172573738,-0.04488155650428462,-0.0432348179362664,-0.048106850880064826,-0.04234778658974414,0.004169027789773576,0.09844735995678315,0,0.0
behinds,0.031101444672192488,0.028911909983455247,0.029099776881961914,0.02962488006781687,0.030695798441268934,0.03255600317990142,0.03149984174521374,0.033578436447339224,0.03088351142739373,0.001655101107484047,0.05359173976622261,0,0.0
frees_against,0.04944022749433244,0.037963550255995245,0.02534159206771708,0.025442616319800375,0.016182950844526544,0.015352062093374131,0.01943118660577054,0.019617447805363657,0.02609645418586,0.011873619424806988,0.45498975992073837,0,0.0
marks,0.012574082141697508,0.02306018709547512,0.005338568716909503,-0.017837304693716156,-0.03669942673839052,-0.04323562259614921,-0.05507423306520032,-0.08301036829883489,-0.024360514679776124,0.036701754529077764,1.5066083377765094,5,0.0
clearances,0.004981336071240025,0.03183696107742959,0.021727631062407576,-0.00472541636467912,-0.015125716698267858,-0.016185943867680287,0.006612408807797133,0.02738495636692627,0.007063277056896666,0.018586239605948348,2.631390423486295,3,0.0
marks_inside_50,0.0005092991739250878,-0.002402075383052116,0.0016880158999176323,0.005017894055650889,-0.0012400754100101593,-0.009587328668456878,-0.01118991299696522,-0.010443709270447544,-0.0034559865749297885,0.006167276995824559,1.7845199517159158,5,0.0
n_teammates_goals_ge_2,0.004305078382952662,0.008170637759845147,0.002240997562922173,0.010872354817018592,0.0025368315656761134,-0.006823369170352106,-0.020798712169300234,-0.022446386331148722,-0.0027428209477982964,0.0127490012217921,4.648134699432682,3,0.0
inside_50s_match_z,0.00425862763936351,-0.0014195941659066425,0.021227044721386253,0.02260174186261097,0.0039691414438856815,0.01172469979202326,-0.02881017636802375,-0.033519033385998855,4.056442417553659e-06,0.021004597179323934,5178.083408365326,3,0.0
absolute_margin,-6.383229053587808e-07,-1.862098512916009e-06,-4.894540550127886e-07,1.7317244255183383e-06,3.160904201736622e-06,1.3852805297248336e-07,-2.180393538406084e-06,1.4943746059884423e-06,1.6940778431527799e-07,1.8470627888424354e-06,10.903057355410194,4,0.0
is_blowout,1.6491794716264448e-06,-3.145059185322671e-06,-1.1904953485593193e-06,2.596120103188723e-06,7.723546010949605e-08,2.0730839179330416e-06,-8.533490107443337e-07,1.2941236188568992e-07,1.6701597126463392e-07,1.9121322666936486e-06,11.448798891597667,3,0.0
is_close_game,1.2784197432050555e-06,-1.1625101784456098e-06,-2.1848546430693613e-06,1.2932860632261408e-07,1.35863118008855e-06,-4.981816062102695e-07,-2.578629822442909e-06,3.960409344226396e-06,3.782657795930821e-08,2.1445243690406065e-06,56.693586486929114,4,0.0
role_HYBRID_MID_FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
