Player,Team,Production EV,Objective EV,Difference,Production Rank,Objective Rank,Rank Difference
Andrew McGrath,essendon,0.1337267404663297,0.3748260252319795,0.2410992847656498,360.0,259,101.0
Ryan Angwin,greater_western_sydney,0.2594237421768434,0.3660753523276274,0.106651610150784,304.0,260,44.0
Dion Prestia,richmond,0.0855559598191163,0.3604326345337513,0.274876674714635,388.0,261,127.0
Brayden Maynard,collingwood,0.4313663431036379,0.3502991237273836,-0.08106721937625433,253.0,262,-9.0
Toby Bedford,greater_western_sydney,0.251072973594084,0.3457969615073754,0.0947239879132914,305.0,263,42.0
Karl Amon,hawthorn,1.1646595150369978,0.3438104481371307,-0.8208490668998671,175.0,264,-89.0
Roan Steele,collingwood,0.229861494099377,0.34376257535947463,0.11390108126009763,313.0,265,48.0
Harris Andrews,brisbane_lions,0.6671874547275806,0.34305663045392887,-0.3241308242736517,221.0,266,-45.0
Joe Berry,port_adelaide,0.1645028128311651,0.33826964881789107,0.17376683598672596,342.0,267,75.0
Connor OSullivan,geelong,0.7326070217813265,0.32881967157673103,-0.4037873502045955,207.0,268,-61.0
Kane McAuliffe,richmond,0.7218494635943681,0.3281240718941439,-0.3937253917002242,210.0,269,-59.0
Brayden Cook,adelaide,0.7054327355404575,0.3132024636608105,-0.392230271879647,215.0,270,-55.0
Jack Lukosius,port_adelaide,0.3668231791199114,0.312795915645491,-0.05402726347442044,268.0,271,-3.0
Ben McKay,essendon,0.0674242464166162,0.31112351729879606,0.24369927088217985,405.0,272,133.0
Jack Ough,greater_western_sydney,,0.3091365319725865,,,273,
