season,feature,source,pct_available
1998,disposals,afltables_core,1.0
1998,goals,afltables_core,1.0
1998,behinds,afltables_core,1.0
1998,hitouts,afltables_core,1.0
1998,tackles,afltables_core,1.0
1998,rebound_50s,afltables_core,1.0
1998,inside_50s,afltables_core,1.0
1998,clearances,afltables_core,1.0
1998,clangers,afltables_core,1.0
1998,frees_for,afltables_core,1.0
1998,frees_against,afltables_core,1.0
1998,contested_possessions,afltables_core,0.0
1998,uncontested_possessions,afltables_core,0.0
1998,contested_marks,afltables_core,0.0
1998,marks_inside_50,afltables_core,0.0
1998,one_percenters,afltables_core,0.0
1998,bounces,afltables_core,0.0
1998,goal_assists,afltables_core,0.0
1998,time_on_ground_pct,afltables_core,0.0
1998,effective_disposals,footywire_advanced,0.0
1998,disposal_efficiency_pct,footywire_advanced,0.0
1998,centre_clearances,footywire_advanced,0.0
1998,stoppage_clearances,footywire_advanced,0.0
1998,score_involvements,footywire_advanced,0.0
1998,metres_gained,footywire_advanced,0.0
1998,turnovers,footywire_advanced,0.0
1998,intercepts,footywire_advanced,0.0
1998,tackles_inside_50,footywire_advanced,0.0
1999,kicks,afltables_core,1.0
1999,marks,afltables_core,1.0
1999,handballs,afltables_core,1.0
1999,disposals,afltables_core,1.0
1999,goals,afltables_core,1.0
1999,behinds,afltables_core,1.0
1999,hitouts,afltables_core,1.0
1999,tackles,afltables_core,1.0
1999,rebound_50s,afltables_core,1.0
1999,inside_50s,afltables_core,1.0
1999,clearances,afltables_core,1.0
1999,clangers,afltables_core,1.0
1999,frees_for,afltables_core,1.0
1999,frees_against,afltables_core,1.0
1999,contested_possessions,afltables_core,1.0
1999,uncontested_possessions,afltables_core,1.0
1999,contested_marks,afltables_core,1.0
1999,marks_inside_50,afltables_core,1.0
1999,one_percenters,afltables_core,1.0
1999,bounces,afltables_core,1.0
1999,goal_assists,afltables_core,0.0
1999,time_on_ground_pct,afltables_core,0.0
1999,effective_disposals,footywire_advanced,0.0
1999,disposal_efficiency_pct,footywire_advanced,0.0
1999,centre_clearances,footywire_advanced,0.0
1999,stoppage_clearances,footywire_advanced,0.0
1999,score_involvements,footywire_advanced,0.0
1999,metres_gained,footywire_advanced,0.0
1999,turnovers,footywire_advanced,0.0
1999,intercepts,footywire_advanced,0.0
1999,tackles_inside_50,footywire_advanced,0.0
2000,kicks,afltables_core,1.0
2000,marks,afltables_core,1.0
2000,handballs,afltables_core,1.0
2000,disposals,afltables_core,1.0
2000,goals,afltables_core,1.0
2000,behinds,afltables_core,1.0
2000,hitouts,afltables_core,1.0
2000,tackles,afltables_core,1.0
2000,rebound_50s,afltables_core,1.0
2000,inside_50s,afltables_core,1.0
2000,clearances,afltables_core,1.0
2000,clangers,afltables_core,1.0
2000,frees_for,afltables_core,1.0
2000,frees_against,afltables_core,1.0
2000,contested_possessions,afltables_core,1.0
2000,uncontested_possessions,afltables_core,1.0
2000,contested_marks,afltables_core,1.0
2000,marks_inside_50,afltables_core,1.0
2000,one_percenters,afltables_core,1.0
2000,bounces,afltables_core,1.0
2000,goal_assists,afltables_core,0.0
2000,time_on_ground_pct,afltables_core,0.0
2000,effective_disposals,footywire_advanced,0.0
2000,disposal_efficiency_pct,footywire_advanced,0.0
2000,centre_clearances,footywire_advanced,0.0
2000,stoppage_clearances,footywire_advanced,0.0
2000,score_involvements,footywire_advanced,0.0
2000,metres_gained,footywire_advanced,0.0
2000,turnovers,footywire_advanced,0.0
2000,intercepts,footywire_advanced,0.0
2000,tackles_inside_50,footywire_advanced,0.0
2001,kicks,afltables_core,1.0
2001,marks,afltables_core,1.0
2001,handballs,afltables_core,1.0
2001,disposals,afltables_core,1.0
2001,goals,afltables_core,1.0
2001,behinds,afltables_core,1.0
2001,hitouts,afltables_core,1.0
2001,tackles,afltables_core,1.0
2001,rebound_50s,afltables_core,1.0
2001,inside_50s,afltables_core,1.0
2001,clearances,afltables_core,1.0
2001,clangers,afltables_core,1.0
2001,frees_for,afltables_core,1.0
2001,frees_against,afltables_core,1.0
2001,contested_possessions,afltables_core,1.0
2001,uncontested_possessions,afltables_core,1.0
2001,contested_marks,afltables_core,1.0
2001,marks_inside_50,afltables_core,1.0
2001,one_percenters,afltables_core,1.0
2001,bounces,afltables_core,1.0
2001,goal_assists,afltables_core,0.0
2001,time_on_ground_pct,afltables_core,0.0
2001,effective_disposals,footywire_advanced,0.0
2001,disposal_efficiency_pct,footywire_advanced,0.0
2001,centre_clearances,footywire_advanced,0.0
2001,stoppage_clearances,footywire_advanced,0.0
2001,score_involvements,footywire_advanced,0.0
2001,metres_gained,footywire_advanced,0.0
2001,turnovers,footywire_advanced,0.0
2001,intercepts,footywire_advanced,0.0
2001,tackles_inside_50,footywire_advanced,0.0
2002,kicks,afltables_core,1.0
