player_id,player_name,team_id,sim_mean_votes,sim_median_votes,sim_mode_votes,sim_p10,sim_p90,sim_p2_5,sim_p97_5,prob_ge_10,prob_ge_15,prob_ge_20,prob_ge_25,prob_ge_30,prob_ge_35,mean_rank,median_rank,prob_rank_1,prob_top3_rank,prob_top10_rank
12903,Malcolm Rosas,sydney,2.05147,2.0,3,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,168.40605,133.0,0.0,0.0,0.0
12871,Tanner Bruhn,geelong,2.03999,2.0,1,0.0,4.0,0.0,6.0,0.00094,0.0,0.0,0.0,0.0,0.0,178.94783,158.0,0.0,0.0,0.0
12598,Bayley Fritsch,melbourne,1.98175,2.0,0,0.0,4.0,0.0,6.0,0.00031,0.0,0.0,0.0,0.0,0.0,226.45696,154.0,0.0,0.0,0.0
13240,Tom McCarthy,west_coast,1.98164,2.0,0,0.0,4.0,0.0,6.0,0.00041,0.0,0.0,0.0,0.0,0.0,184.03449,155.0,0.0,0.0,0.0
12873,Francis Evans,carlton,1.96951,2.0,0,0.0,4.0,0.0,6.0,0.00029,0.0,0.0,0.0,0.0,0.0,204.82025,147.0,0.0,0.0,0.0
12502,Jy Simpkin,north_melbourne,1.92224,2.0,0,0.0,4.0,0.0,6.0,0.00155,0.0,0.0,0.0,0.0,0.0,232.96768,163.0,0.0,0.0,0.0
12418,Jayden Short,richmond,1.91397,2.0,0,0.0,4.0,0.0,6.0,1e-05,0.0,0.0,0.0,0.0,0.0,233.01613,153.0,0.0,0.0,0.0
12495,Dan Houston,collingwood,1.8764,2.0,0,0.0,4.0,0.0,6.0,0.00082,1e-05,0.0,0.0,0.0,0.0,213.84189,165.0,0.0,0.0,0.0
12291,Daniel McStay,collingwood,1.85163,2.0,2,0.0,4.0,0.0,5.0,5e-05,0.0,0.0,0.0,0.0,0.0,206.24006,162.0,0.0,0.0,0.0
13139,Joe Richards,port_adelaide,1.78924,2.0,0,0.0,4.0,0.0,6.0,0.00027,0.0,0.0,0.0,0.0,0.0,235.19362,165.0,0.0,0.0,0.0
13197,Levi Ashcroft,brisbane_lions,1.78304,2.0,0,0.0,4.0,0.0,6.0,0.00031,0.0,0.0,0.0,0.0,0.0,217.55876,169.0,0.0,0.0,0.0
13047,Matthew Johnson,fremantle,1.7699,2.0,0,0.0,4.0,0.0,6.0,0.00044,0.0,0.0,0.0,0.0,0.0,204.35159,165.0,0.0,0.0,0.0
12937,Brodie Kemp,carlton,1.76666,2.0,2,0.0,3.0,0.0,5.0,3e-05,0.0,0.0,0.0,0.0,0.0,199.67262,150.0,0.0,0.0,0.0
12690,Tom Atkins,geelong,1.76389,2.0,1,0.0,4.0,0.0,5.0,0.00016,0.0,0.0,0.0,0.0,0.0,185.45161,164.0,0.0,0.0,0.0
