rank,player_id,player_name,team_id,objective_ev,objective_3_games,objective_2_games,objective_1_games,n_matches
212,13283,Dyson Sharp,essendon,0.6549651324739767,0,0,0,15
213,12863,Braeden Campbell,sydney,0.6547477374443738,0,0,1,6
214,12998,Massimo DAmbrosio,hawthorn,0.653405408391114,0,0,0,23
215,12904,Kieren Briggs,greater_western_sydney,0.64337508619974,0,0,0,18
216,12724,Darcy Fort,brisbane_lions,0.6414077193161629,0,0,0,22
217,13066,Oisin Mullin,geelong,0.6347866712499531,0,0,0,23
218,12824,Sam Flanders,st_kilda,0.6212208754988744,0,0,0,12
219,13297,Talor Byrne,carlton,0.6181465034356675,0,0,1,18
220,12440,Jacob Hopper,richmond,0.6132795860033421,0,0,0,12
221,12603,Adam Cerra,carlton,0.6072873295399314,0,0,0,20
222,13054,Aaron Cadman,greater_western_sydney,0.6032653764034253,0,0,0,18
223,12745,Hayden McLean,sydney,0.5928817609039368,0,0,0,10
224,12931,Jake Bowey,melbourne,0.5861997792808207,0,0,0,15
225,12558,Josh Battle,hawthorn,0.5733319818946577,0,0,0,21
226,NOID2026_8158,Jack Ross,richmond,0.5684381763170441,0,0,1,1
227,12938,Charlie Comben,north_melbourne,0.5677158015752505,0,0,0,22
228,12578,Patrick Lipinski,collingwood,0.5633378335243627,0,0,0,19
229,13222,Josaia Delana,greater_western_sydney,0.5343858590215057,0,0,1,9
230,13195,Riley Bice,sydney,0.525210304904533,0,0,0,20
231,12600,Liam Ryan,st_kilda,0.5206663442559457,0,0,0,17
232,12521,Ben Long,gold_coast,0.5184115230357506,0,0,0,21
233,12165,Rory Laird,adelaide,0.5112380763209579,0,0,0,18
234,12312,Mason Wood,st_kilda,0.5111002083124044,0,0,0,20
235,NOID2026_2811,Charlie Cameron,brisbane_lions,0.505137929970404,0,0,0,1
236,13146,Edward Allan,collingwood,0.5039885398746273,0,0,0,18
237,13057,Josh Weddle,hawthorn,0.5028120898715767,0,0,0,20
238,12404,Mitch McGovern,carlton,0.5007633463374367,0,0,0,23
239,13148,Nate Caddy,essendon,0.4915292389113931,0,0,0,22
240,12729,Peter Ladhams,sydney,0.4883070256145313,0,0,1,2
241,12933,Joel Jeffrey,gold_coast,0.48542790061176344,0,0,0,22
242,11847,Rhys Stanley,geelong,0.4718194217666333,0,0,1,1
243,12393,Ed Langdon,melbourne,0.46425337648338433,0,0,0,23
244,13038,Reuben Ginbey,west_coast,0.46269796489228876,0,0,0,13
245,NOID2026_3123,Jack Ross,richmond,0.43879683759674737,0,0,0,1
246,12912,Josh Worrell,adelaide,0.43846919130542,0,0,0,22
247,12418,Jayden Short,richmond,0.435632195413269,0,0,0,21
248,13036,Mattaes Phillipou,st_kilda,0.4320813321119232,0,0,0,21
249,12867,Miles Bergman,port_adelaide,0.4316618279016901,0,0,0,16
250,12728,Ben King,gold_coast,0.4201205659957759,0,0,0,23
251,12652,Wil Powell,gold_coast,0.4199908941844299,0,0,0,20
252,12750,Connor Idun,greater_western_sydney,0.4132421850662513,0,0,0,23
253,13238,Archie May,essendon,0.4048785754135713,0,0,0,10
254,13280,Toby Murray,adelaide,0.3900646700733843,0,0,1,13
255,13220,Hugh Boxshall,st_kilda,0.38986467262929825,0,0,0,10
256,13019,Mac Andrew,gold_coast,0.387230323123579,0,0,0,23
257,11751,Steele Sidebottom,collingwood,0.3871540185772608,0,0,0,20
258,NOID2026_4087,Jack Ross,richmond,0.38347485368259493,0,0,0,1
259,12491,Andrew McGrath,essendon,0.37567220677772395,0,0,0,20
260,12557,Cameron Zurhaar,north_melbourne,0.3696133851699396,0,0,0,23
261,NOID2026_8550,Jack Ross,richmond,0.3651369251088432,0,0,1,1
