season,match_id,player_id,brownlow_votes,p3,p2,p1,p0,expected_votes,model,role,win_loss_draw,absolute_margin,disposals,goals,match_rank_of_p3
2018,2018_R17_hawthorn_v_brisbane_lions_2018-07-14,12592,3,0.00891430346252124,0.014542257170414973,0.022694552536809066,0.9538488868302547,0.07852197726520273,Model1_PlackettLuce,MIDFIELDER,win,33,19,3,12.0
2017,2017_R15_carlton_v_adelaide_2017-07-01,11866,3,0.013949867995735459,0.016985545788455077,0.0209520080963521,0.9481125781194573,0.09677270366046863,Model1_PlackettLuce,KEY_DEFENDER,loss,12,19,0,12.0
2019,2019_R4_port_adelaide_v_richmond_2019-04-13,11879,3,0.007891636994242725,0.01085133369217314,0.015549905093694387,0.9657071242198897,0.060927483460768844,Model1_PlackettLuce,UNKNOWN,win,7,17,0,12.0
2016,2016_R13_essendon_v_greater_western_sydney_2016-06-19,3940,3,0.0070941975964073315,0.009799405442787358,0.013899522670000724,0.9692068742908047,0.05478092634479744,Model1_PlackettLuce,MIDFIELDER,loss,27,25,0,11.0
2020,2020_R15_west_coast_v_essendon_2020-09-01,12383,3,0.018948275373079117,0.022333355501569136,0.02663116638143455,0.9320872027439172,0.12814270350381018,Model1_PlackettLuce,KEY_DEFENDER,win,15,11,0,11.0
2021,2021_R4_gold_coast_v_carlton_2021-04-10,12684,3,0.016039171180024757,0.02151300082631592,0.0264383115080051,0.9360095164856542,0.11758182670071121,Model1_PlackettLuce,MIDFIELDER,win,11,24,0,11.0
2021,2021_R21_west_coast_v_melbourne_2021-08-09,12779,3,0.014051616898867468,0.016940291546511024,0.02047619888658115,0.9485318926680404,0.0965116326762056,Model1_PlackettLuce,RUCK,win,9,21,0,11.0
2025,2025_R10_north_melbourne_v_brisbane_lions_2025-05-11,12592,3,0.012082155421879943,0.014169156738344773,0.016973751331023853,0.9567749365087515,0.08155853107335323,Model1_PlackettLuce,MEDIUM_FORWARD,draw,0,14,3,11.0
2020,2020_R8_north_melbourne_v_carlton_2020-07-25,12236,3,0.028749432319267593,0.031207597317983567,0.03398068823633366,0.906062282126415,0.18264417983010356,Model1_PlackettLuce,MIDFIELDER,win,7,17,0,10.0
2019,2019_R21_west_coast_v_adelaide_2019-08-11,11905,3,0.007629596115474464,0.025674973164203956,0.0337102046626152,0.9329852260577064,0.10794893933744651,Model1_PlackettLuce,KEY_FORWARD,win,10,16,3,10.0
2023,2023_R8_north_melbourne_v_st_kilda_2023-05-07,12368,3,0.022289914903558174,0.02850533594494183,0.03521033378609375,0.9139944153654063,0.15909075038665194,Model1_PlackettLuce,MIDFIELDER,win,30,20,0,10.0
2015,2015_R4_western_bulldogs_v_adelaide_2015-04-26,468,3,0.014983167265858396,0.01784442872199993,0.021967371971344546,0.9452050320407971,0.1026057312129196,Model1_PlackettLuce,MEDIUM_DEFENDER,win,57,25,0,10.0
2025,2025_R5_gold_coast_v_adelaide_2025-04-05,12768,3,0.022545547540710757,0.027029866945070726,0.03174356908166424,0.9186810164325543,0.15343994559393795,Model1_PlackettLuce,MIDFIELDER,win,1,17,0,10.0
2024,2024_R7_brisbane_lions_v_geelong_2024-04-20,12551,3,0.03405281935668397,0.03641688922593251,0.03894630049470141,0.890583990922682,0.21393853701661833,Model1_PlackettLuce,MIDFIELDER,win,26,21,0,10.0
2015,2015_R16_melbourne_v_brisbane_lions_2015-07-19,11967,3,0.03302033295669006,0.03672161030162052,0.04060692791219617,0.8896511288294933,0.2131111473855074,Model1_PlackettLuce,MIDFIELDER,win,24,22,0,10.0
